id,label,pmid_count
SCP3,SCP3,1
SDC1,SDC1,1
SDHA,SDHA,1
SDHB,SDHB,2
SDHC,SDHC,2
SDHD,SDHD,1
SEMA3F,SEMA3F,1
SEMA5A,SEMA5A,1
SERPINE1,SERPINE1,1
SFRP1,SFRP1,1
SGK3,SGK3,1
SHH,SHH,2
SHMT2,SHMT2,1
SHP2,SHP2,1
SIRT1,SIRT1,1
SKP2,SKP2,1
SLC16A7,SLC16A7,1
SLC1A2,SLC1A2,1
SLC25A5,SLC25A5,1
SLC7A11,SLC7A11,1
SLUG,SLUG,1
SMAD2,SMAD2,2
SMAD3,SMAD3,2
SMAD4,SMAD4,2
SMARCA4,SMARCA4,5
SMARCB1,SMARCB1,2
SMO,SMO,2
SMURF2,SMURF2,1
SNAI1,SNAI1,2
SNCAIP,SNCAIP,1
SNHG17,SNHG17,1
SNK,SNK,1
SNRPB,SNRPB,1
SNRPN,SNRPN,1
SNTG1,SNTG1,1
SNX31,SNX31,1
SOD1,SOD1,1
SOX10,SOX10,1
SOX2,SOX2,4
SP1,SP1,1
SPOCK1,SPOCK1,1
SPOP,SPOP,1
SPRED1,SPRED1,1
SRC,SRC,2
SRI,SRI,1
SSTR1,SSTR1,1
ST18,ST18,1
STAT,STAT,1
STAT1,STAT1,1
STAT3,STAT3,6
STAT6,STAT6,5
STK11,STK11,5
STK4,STK4,1
SUFU,SUFU,2
SULT2A1,SULT2A1,1
SUZ12,SUZ12,1
StAR,StAR,1
TBX3,TBX3,1
TCL1A,TCL1A,1
TERC,TERC,1
TERF2IP,TERF2IP,2
TERT,TERT,19
TET1,TET1,1
TFAP2C,TFAP2C,1
TGFA,TGFA,1
TGFB1,TGFB1,6
TGFB2,TGFB2,1
TGFBR1,TGFBR1,1
TIMP3,TIMP3,1
TIRAP,TIRAP,1
TNBC,TNBC,1
TNF,TNF,1
TNFAIP3,TNFAIP3,1
TNFRSF11A,TNFRSF11A,1
TNFRSF6B,TNFRSF6B,2
TNK2,TNK2,1
TOB1,TOB1,1
TOP2,TOP2,1
TOP2A,TOP2A,4
TP53,TP53,131
TP53AP1,TP53AP1,1
TP73,TP73,2
TPX2,TPX2,2
TRPM7,TRPM7,1
TSC1,TSC1,3
TSC2,TSC2,2
TSHR,TSHR,1
TSPAN31,TSPAN31,3
TWIST1,TWIST1,2
TWIST2,TWIST2,1
TYK2,TYK2,1
UBE2C,UBE2C,1
UBE2S,UBE2S,1
UBE2T,UBE2T,1
UPK3BL,UPK3BL,1
USP8,USP8,1
VDR,VDR,1
VEGF,VEGF,6
VEGFA,VEGFA,3
VEGFR2,VEGFR2,3
VHL,VHL,2
VIM,VIM,1
WDR4,WDR4,1
WEE1,WEE1,2
WIF1,WIF1,1
WNT,WNT,2
WNT1,WNT1,1
WRN,WRN,1
WT1,WT1,1
XIAP,XIAP,2
XPC,XPC,1
XPO1,XPO1,1
YAP,YAP,2
YAP1,YAP1,1
YEATS4,YEATS4,3
YY1,YY1,2
ZCCHC8,ZCCHC8,1
ZIC1,ZIC1,1
ZNF217,ZNF217,2
ZO1,ZO1,1
ZONAB,ZONAB,1
c-MYC,c-MYC,1
ctDNA,ctDNA,1
desmin,desmin,1
hTERT,hTERT,2
miR-214-3p,miR-214-3p,1
miRNAs,miRNAs,1
myogenin,myogenin,1
p14(ARF),p14(ARF),1
p15,p15,1
p15INK4B,p15INK4B,1
p16,p16,6
p16/INK4a,p16/INK4a,1
p16INK4A,p16INK4A,1
p21,p21,1
p27,p27,1
p53,p53,4
pAKT,pAKT,1
pER,pER,1
pRB,pRB,2
pRb,pRb,1
rpS6,rpS6,1
